                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5987,                 2.8511,                 1.8192,                0.41519,                0.43821,                0.36711,                0.14437,                 1.8405,                 2.6887,                 2.0847,              0.0033301,              0.0033301,              0.0033301
                      2,                 1.5802,                 2.2711,                 1.7955,                0.46499,                0.41759,                0.37626,                0.14953,                 1.9204,                 2.3137,                 2.2932,              0.0066569,              0.0066569,              0.0066569
                      3,                 1.6621,                  2.224,                 1.8749,                0.40683,                 0.3743,                0.31441,                0.11909,                 2.0801,                 2.3512,                 2.4176,               0.009977,               0.009977,               0.009977
                      4,                 1.7057,                 2.2318,                 1.9242,                 0.5063,                0.44287,                0.40857,                0.16384,                 1.9518,                 2.1725,                 2.2818,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.6523,                 2.1051,                  1.877,                 0.5238,                 0.4451,                0.42355,                0.17173,                 1.8918,                 2.0669,                 2.2319,              0.0099703,              0.0099703,              0.0099703
                      6,                  1.624,                 2.0462,                 1.8548,                 0.5139,                0.48069,                0.45937,                 0.1968,                 1.8159,                 2.0007,                 2.1176,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.5909,                 1.9617,                 1.8203,                 0.5701,                0.49758,                0.49748,                0.21653,                 1.7894,                 1.9083,                 2.0913,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.5725,                 1.9233,                 1.8026,                0.60877,                0.53491,                0.54556,                0.24576,                 1.7822,                 1.7625,                  2.091,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.5501,                 1.8896,                 1.7914,                0.62598,                0.54255,                0.56237,                0.25143,                 1.7701,                 1.7628,                 2.0708,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.5426,                  1.836,                 1.7769,                0.62774,                0.56593,                0.58084,                0.27493,                 1.7286,                 1.7162,                  2.014,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.5212,                 1.7958,                 1.7598,                0.63366,                0.57387,                0.59355,                0.28599,                 1.6797,                 1.6699,                 1.9889,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.5135,                 1.7688,                 1.7543,                 0.6615,                0.57583,                0.61408,                0.29617,                 1.7053,                 1.6255,                 1.9788,               0.009901,               0.009901,               0.009901
                     13,                 1.4975,                  1.729,                  1.732,                0.69072,                0.58757,                  0.639,                0.31756,                 1.6562,                 1.5455,                 1.9426,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.4803,                 1.7078,                 1.7249,                0.69265,                0.61508,                0.65751,                0.32653,                 1.6534,                 1.5121,                 1.9281,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.4748,                 1.6765,                   1.71,                0.70583,                0.61595,                0.67466,                0.33887,                 1.6583,                 1.4654,                 1.9272,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.4628,                 1.6522,                 1.7037,                0.71424,                0.63382,                0.68579,                0.34985,                 1.6255,                 1.4474,                 1.9032,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.4489,                 1.6277,                 1.6955,                0.72024,                0.63287,                0.69307,                0.36645,                 1.5776,                 1.3994,                 1.8622,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.4492,                 1.6261,                 1.6926,                 0.7411,                0.63619,                0.70981,                0.37029,                 1.5818,                 1.3848,                 1.8588,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.4425,                 1.5935,                 1.6878,                0.73147,                0.64783,                0.71629,                0.37454,                 1.5829,                 1.3519,                 1.8652,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.4301,                 1.5777,                 1.6781,                0.74363,                0.65374,                0.72058,                0.38596,                 1.5457,                 1.3358,                 1.8245,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.4284,                 1.5551,                 1.6651,                 0.7592,                0.64984,                0.72877,                0.39503,                 1.5321,                 1.3154,                 1.8153,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.4195,                 1.5399,                 1.6555,                0.76182,                0.65659,                0.74343,                0.40677,                 1.5182,                 1.2833,                 1.7864,               0.009802,               0.009802,               0.009802
                     23,                 1.4115,                 1.5271,                 1.6541,                0.75959,                0.68467,                0.75926,                0.41968,                  1.504,                 1.2538,                 1.7792,              0.0097921,              0.0097921,              0.0097921
                     24,                  1.404,                 1.5039,                 1.6471,                0.76601,                0.68737,                0.75794,                0.42256,                 1.4945,                  1.243,                 1.7795,              0.0097822,              0.0097822,              0.0097822
