                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6549,                 2.2732,                 1.8681,                0.51305,                0.50468,                0.46177,                0.19871,                 1.8606,                 1.9178,                 2.1042,              0.0033301,              0.0033301,              0.0033301
                      2,                 1.5774,                 1.8539,                 1.7813,                0.52397,                0.47575,                0.45002,                0.18956,                 1.9137,                 1.9321,                 2.1577,              0.0066569,              0.0066569,              0.0066569
                      3,                 1.6524,                  2.008,                 1.8569,                0.44911,                0.36365,                0.32315,                0.12004,                 2.1475,                 2.2503,                 2.5287,               0.009977,               0.009977,               0.009977
                      4,                 1.6988,                 2.1372,                 1.9169,                0.45776,                0.45234,                0.38966,                 0.1541,                 1.9663,                 2.1362,                 2.3168,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.6503,                 2.0292,                 1.8674,                0.53924,                0.50652,                0.47346,                0.20102,                 1.9008,                 1.8956,                 2.1667,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.6192,                 1.9416,                 1.8356,                0.59642,                0.54155,                0.54021,                 0.2376,                 1.8148,                 1.7927,                 2.0867,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.5795,                 1.8759,                 1.8111,                0.64352,                 0.5357,                0.56004,                 0.2597,                 1.7668,                 1.7169,                 2.0806,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.5547,                 1.8112,                 1.7904,                0.62898,                0.56199,                0.58713,                0.27496,                 1.7195,                 1.6905,                 2.0145,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.5307,                 1.7505,                 1.7679,                0.64153,                 0.5854,                0.61465,                0.29415,                 1.7262,                 1.5793,                 2.0021,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.5068,                 1.6998,                 1.7461,                0.66752,                0.60047,                0.63519,                0.31091,                  1.678,                  1.507,                 1.9607,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.4881,                 1.6676,                 1.7304,                0.68613,                0.61477,                0.65579,                0.32765,                 1.6398,                   1.49,                 1.9308,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.4699,                 1.6152,                 1.7142,                 0.6918,                 0.6284,                0.68229,                0.35209,                 1.6303,                 1.4189,                 1.9014,               0.009901,               0.009901,               0.009901
                     13,                 1.4482,                 1.5757,                 1.6929,                0.71237,                0.64327,                0.69062,                0.35389,                 1.6424,                 1.3757,                 1.9138,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.4445,                 1.5595,                  1.681,                0.73612,                0.63911,                0.70276,                0.36573,                 1.6148,                 1.3313,                 1.8823,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.4282,                 1.5202,                 1.6667,                0.74075,                0.67699,                0.74082,                0.39518,                 1.5962,                 1.2669,                 1.8575,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.4155,                 1.4759,                 1.6547,                0.76234,                0.67445,                0.74885,                0.40965,                 1.5223,                 1.2439,                 1.7993,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.4005,                 1.4491,                 1.6438,                0.75659,                0.69439,                0.76249,                 0.4221,                 1.5191,                  1.212,                 1.7834,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.3913,                 1.4367,                 1.6329,                0.76964,                 0.6986,                0.76643,                0.43501,                 1.4813,                 1.1808,                 1.7622,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.3806,                 1.3991,                 1.6258,                0.79429,                0.71379,                0.79209,                0.44935,                  1.473,                 1.1386,                 1.7345,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.3673,                 1.3778,                 1.6099,                0.81503,                0.71503,                0.80476,                0.46419,                  1.447,                 1.0985,                  1.717,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.3549,                 1.3565,                 1.6062,                0.81205,                0.73625,                0.81558,                0.47667,                 1.4248,                 1.0684,                 1.6982,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.3517,                 1.3361,                 1.5931,                0.81601,                 0.7396,                0.81723,                0.48077,                 1.4074,                 1.0573,                 1.6742,               0.009802,               0.009802,               0.009802
                     23,                 1.3269,                 1.2916,                 1.5749,                0.81944,                0.75721,                0.83398,                0.49776,                 1.3827,                 1.0197,                 1.6591,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.3283,                 1.2892,                 1.5665,                0.83474,                0.75801,                0.84147,                0.51277,                 1.3619,                0.97196,                 1.6359,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.3085,                 1.2643,                 1.5597,                0.82958,                0.77391,                0.84893,                0.51261,                  1.362,                0.95077,                 1.6327,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.3026,                 1.2517,                 1.5541,                0.83583,                 0.7761,                0.85864,                0.53312,                 1.3203,                0.94455,                 1.5921,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.2872,                 1.2232,                  1.539,                0.83042,                0.78659,                0.86283,                0.53803,                 1.3123,                0.91423,                 1.5868,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.2847,                 1.2107,                 1.5308,                0.84261,                0.79799,                0.86848,                0.54438,                 1.2995,                0.89543,                 1.5709,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.2739,                 1.1998,                 1.5245,                0.85618,                0.80203,                0.87582,                0.55835,                 1.2741,                0.87057,                 1.5561,              0.0097327,              0.0097327,              0.0097327
